Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.61,0.01,0.449912909
100% Corpus,8,0.91,0.01,0.449524474
100% Corpus,6,0.91,0.31,0.449447158
100% Corpus,6,0.91,symmetric,0.449447158
100% Corpus,7,asymmetric,0.31,0.448705402
75% Corpus,10,0.31,symmetric,0.448642685
100% Corpus,10,symmetric,0.91,0.447911418
100% Corpus,8,0.01,0.31,0.447740465
100% Corpus,8,symmetric,0.31,0.447740465
100% Corpus,8,0.01,0.61,0.447387905
75% Corpus,9,0.01,symmetric,0.445042814
100% Corpus,7,symmetric,0.31,0.444445608
100% Corpus,9,0.01,0.91,0.444205894
100% Corpus,10,asymmetric,0.61,0.443943867
100% Corpus,6,0.31,0.31,0.443100243
75% Corpus,6,0.01,0.31,0.442257078
75% Corpus,6,symmetric,0.31,0.442257078
100% Corpus,8,0.31,0.31,0.442022768
100% Corpus,6,asymmetric,0.01,0.440903882
100% Corpus,10,0.61,0.61,0.44058051
100% Corpus,10,0.01,0.61,0.438915797
75% Corpus,10,symmetric,0.61,0.43857543
100% Corpus,5,asymmetric,0.61,0.437987732
75% Corpus,10,0.01,0.61,0.43788786
100% Corpus,10,0.91,0.61,0.437778831
100% Corpus,10,asymmetric,0.91,0.437410021
100% Corpus,6,0.61,0.01,0.437346187
100% Corpus,10,symmetric,0.61,0.437314885
100% Corpus,8,asymmetric,symmetric,0.436688563
100% Corpus,10,0.61,0.31,0.4361845
100% Corpus,9,symmetric,0.91,0.435194671
100% Corpus,8,symmetric,0.61,0.434933925
100% Corpus,8,0.61,0.91,0.434837501
100% Corpus,10,0.91,0.01,0.434790151
100% Corpus,9,0.31,0.91,0.434532797
100% Corpus,10,0.01,0.91,0.434299963
100% Corpus,10,0.91,0.31,0.433882704
100% Corpus,5,asymmetric,0.91,0.433681043
100% Corpus,10,0.61,0.01,0.433625881
100% Corpus,10,0.31,0.31,0.433097538
100% Corpus,10,0.31,0.61,0.432852925
100% Corpus,6,symmetric,0.31,0.432543779
100% Corpus,9,asymmetric,0.91,0.432321741
75% Corpus,6,0.31,0.01,0.432181493
75% Corpus,6,symmetric,0.01,0.432181493
100% Corpus,8,asymmetric,0.31,0.432132263
100% Corpus,10,0.91,symmetric,0.432045009
100% Corpus,10,0.61,symmetric,0.431868508
100% Corpus,10,0.01,0.31,0.43163088
100% Corpus,10,symmetric,0.31,0.431076568
100% Corpus,6,asymmetric,0.31,0.430231921
100% Corpus,8,0.31,0.91,0.42964888
100% Corpus,6,asymmetric,symmetric,0.42916728
100% Corpus,10,asymmetric,0.31,0.429028609
100% Corpus,10,0.31,symmetric,0.428838861
100% Corpus,6,0.01,0.01,0.427768572
100% Corpus,8,asymmetric,0.61,0.42736114
100% Corpus,10,0.31,0.01,0.426744796
100% Corpus,8,0.61,0.61,0.426201922
100% Corpus,5,asymmetric,0.01,0.426154613
100% Corpus,10,asymmetric,0.01,0.42611869
100% Corpus,8,symmetric,0.91,0.425783502
75% Corpus,6,asymmetric,0.01,0.425432616
100% Corpus,8,0.91,0.91,0.425241387
100% Corpus,10,0.01,0.01,0.42484423
100% Corpus,10,symmetric,0.01,0.42484423
100% Corpus,10,symmetric,symmetric,0.424175117
75% Corpus,6,0.01,symmetric,0.423879144
75% Corpus,6,symmetric,symmetric,0.423879144
75% Corpus,6,asymmetric,symmetric,0.423879144
75% Corpus,6,asymmetric,0.31,0.423490831
75% Corpus,6,0.31,symmetric,0.423401743
75% Corpus,6,0.01,0.01,0.423013169
75% Corpus,8,0.61,0.61,0.42275009
100% Corpus,8,0.91,0.61,0.422744657
100% Corpus,5,asymmetric,0.31,0.422376824
100% Corpus,5,asymmetric,symmetric,0.422376824
100% Corpus,6,symmetric,0.01,0.422127828
100% Corpus,10,0.01,symmetric,0.421691547
75% Corpus,8,0.91,0.61,0.421409391
100% Corpus,10,asymmetric,symmetric,0.421353597
100% Corpus,6,0.31,0.01,0.42133705
100% Corpus,8,asymmetric,0.91,0.420952133
100% Corpus,6,0.01,0.31,0.420225535
100% Corpus,5,0.01,0.91,0.420022854
100% Corpus,5,0.31,0.91,0.420022854
100% Corpus,5,0.61,0.91,0.420022854
100% Corpus,5,0.91,0.91,0.420022854
100% Corpus,5,symmetric,0.91,0.420022854
100% Corpus,5,0.01,0.61,0.41992525
100% Corpus,5,0.31,0.61,0.41992525
100% Corpus,5,symmetric,0.61,0.41992525
100% Corpus,8,0.01,0.91,0.419293468
100% Corpus,8,0.31,0.61,0.418161348
100% Corpus,6,0.01,symmetric,0.417733163
100% Corpus,7,0.61,0.91,0.417661912
100% Corpus,8,0.91,symmetric,0.417370017
100% Corpus,6,0.31,symmetric,0.416943914
100% Corpus,8,0.61,0.31,0.416337488
100% Corpus,6,symmetric,symmetric,0.416056089
100% Corpus,8,0.91,0.31,0.411379156
100% Corpus,5,0.31,0.01,0.410780449
100% Corpus,5,0.31,0.31,0.410780449
100% Corpus,5,0.31,symmetric,0.410780449
100% Corpus,5,0.61,0.01,0.410780449
100% Corpus,5,0.61,symmetric,0.410780449
100% Corpus,5,symmetric,0.01,0.410780449
100% Corpus,5,symmetric,0.31,0.410780449
100% Corpus,5,symmetric,symmetric,0.410780449
100% Corpus,5,0.61,0.31,0.408599298
100% Corpus,5,0.91,0.31,0.408599298
100% Corpus,5,0.91,symmetric,0.408599298
100% Corpus,5,0.91,0.61,0.407884547
100% Corpus,5,0.01,0.31,0.407002659
100% Corpus,5,0.01,symmetric,0.407002659
100% Corpus,5,0.91,0.01,0.407002659
100% Corpus,5,0.61,0.61,0.406222668
100% Corpus,5,0.01,0.01,0.400414592
100% Corpus,4,0.01,0.01,0.400036539
100% Corpus,4,0.31,0.01,0.39862468
100% Corpus,4,symmetric,0.01,0.39862468
100% Corpus,4,asymmetric,0.01,0.39862468
100% Corpus,4,0.01,0.61,0.394624954
100% Corpus,4,0.01,0.91,0.394624954
100% Corpus,4,0.31,0.61,0.394624954
100% Corpus,4,0.31,0.91,0.394624954
100% Corpus,4,0.61,0.61,0.394624954
100% Corpus,4,0.61,0.91,0.394624954
100% Corpus,4,symmetric,0.61,0.394624954
100% Corpus,4,symmetric,0.91,0.394624954
100% Corpus,4,asymmetric,0.31,0.394624954
100% Corpus,4,asymmetric,0.61,0.394624954
100% Corpus,4,asymmetric,0.91,0.394624954
100% Corpus,4,asymmetric,symmetric,0.393892927
100% Corpus,7,0.91,0.31,0.390142356
100% Corpus,4,0.01,0.31,0.387830343
100% Corpus,4,0.01,symmetric,0.387830343
100% Corpus,4,0.31,0.31,0.387830343
100% Corpus,4,0.31,symmetric,0.387830343
100% Corpus,4,symmetric,0.31,0.387830343
100% Corpus,4,symmetric,symmetric,0.387830343
75% Corpus,4,0.91,0.01,0.382574887
75% Corpus,4,0.91,0.61,0.379595183
75% Corpus,4,0.91,0.31,0.375523659
75% Corpus,4,0.91,symmetric,0.375523659
100% Corpus,4,0.91,0.91,0.373558156
75% Corpus,3,0.01,0.91,0.371295523
75% Corpus,3,0.31,0.91,0.371295523
75% Corpus,3,0.91,0.91,0.371295523
75% Corpus,3,symmetric,0.91,0.371295523
75% Corpus,3,asymmetric,0.91,0.371295523
75% Corpus,3,0.61,0.61,0.369051195
75% Corpus,3,0.61,0.91,0.369051195
75% Corpus,3,0.91,0.31,0.369051195
75% Corpus,3,0.91,0.61,0.369051195
75% Corpus,3,0.91,symmetric,0.369051195
100% Corpus,4,0.61,0.01,0.368282667
100% Corpus,4,0.61,0.31,0.368282667
100% Corpus,4,0.61,symmetric,0.368282667
100% Corpus,4,0.91,0.01,0.368282667
100% Corpus,4,0.91,0.31,0.368282667
100% Corpus,4,0.91,symmetric,0.368282667
100% Corpus,4,0.91,0.61,0.366646915
75% Corpus,4,0.01,symmetric,0.365835005
75% Corpus,4,0.31,0.31,0.365835005
75% Corpus,4,0.31,symmetric,0.365835005
75% Corpus,4,0.61,0.31,0.365835005
75% Corpus,4,0.61,symmetric,0.365835005
75% Corpus,4,symmetric,0.31,0.365835005
75% Corpus,4,symmetric,symmetric,0.365835005
75% Corpus,4,asymmetric,0.31,0.365835005
75% Corpus,4,asymmetric,symmetric,0.365835005
75% Corpus,2,0.01,0.01,0.364819722
75% Corpus,2,0.31,0.01,0.364819722
75% Corpus,2,0.61,0.01,0.364819722
75% Corpus,2,0.61,0.31,0.364819722
75% Corpus,2,0.61,0.61,0.364819722
75% Corpus,2,0.61,0.91,0.364819722
75% Corpus,2,0.61,symmetric,0.364819722
75% Corpus,2,0.91,0.01,0.364819722
75% Corpus,2,0.91,0.31,0.364819722
75% Corpus,2,0.91,0.61,0.364819722
75% Corpus,2,0.91,0.91,0.364819722
75% Corpus,2,0.91,symmetric,0.364819722
75% Corpus,2,symmetric,0.01,0.364819722
75% Corpus,2,symmetric,0.31,0.364819722
75% Corpus,2,symmetric,0.61,0.364819722
75% Corpus,2,symmetric,0.91,0.364819722
75% Corpus,2,symmetric,symmetric,0.364819722
75% Corpus,4,0.61,0.91,0.364058156
75% Corpus,4,0.91,0.91,0.364058156
75% Corpus,4,asymmetric,0.91,0.364058156
75% Corpus,3,0.01,0.31,0.363880234
75% Corpus,3,0.01,0.61,0.363880234
75% Corpus,3,0.01,symmetric,0.363880234
75% Corpus,3,0.31,0.31,0.363880234
75% Corpus,3,0.31,0.61,0.363880234
75% Corpus,3,0.31,symmetric,0.363880234
75% Corpus,3,0.61,0.31,0.363880234
75% Corpus,3,0.61,symmetric,0.363880234
75% Corpus,3,symmetric,0.31,0.363880234
75% Corpus,3,symmetric,0.61,0.363880234
75% Corpus,3,symmetric,symmetric,0.363880234
75% Corpus,4,0.31,0.91,0.361762706
75% Corpus,4,symmetric,0.91,0.361762706
75% Corpus,4,0.01,0.31,0.361031867
75% Corpus,2,0.01,0.31,0.360127296
75% Corpus,2,0.01,0.61,0.360127296
75% Corpus,2,0.01,0.91,0.360127296
75% Corpus,2,0.01,symmetric,0.360127296
75% Corpus,2,0.31,0.31,0.360127296
75% Corpus,2,0.31,0.61,0.360127296
75% Corpus,2,0.31,0.91,0.360127296
75% Corpus,2,0.31,symmetric,0.360127296
75% Corpus,2,asymmetric,0.31,0.360127296
75% Corpus,2,asymmetric,0.61,0.360127296
75% Corpus,2,asymmetric,0.91,0.360127296
75% Corpus,2,asymmetric,symmetric,0.360127296
75% Corpus,4,0.01,0.91,0.358172166
75% Corpus,3,0.91,0.01,0.357543539
75% Corpus,3,0.01,0.01,0.354947284
75% Corpus,3,0.31,0.01,0.354947284
75% Corpus,3,0.61,0.01,0.354947284
